aah|00867440
annul|02483482,00801460
annunciate|00976205
anodise|00136375
anodize|00136375
anoint|00677331,00085379
answer|00817348,00721514,00637941,00637185,00816833,02751892,02675578,02664648,01186429,00720232
answer_for|00869308
antagonise|02570756,01811281
antagonize|01811281,02570756
ante|01141806
ante_up|02257739
antecede|02718318
antedate|02718318,00277856
anthologise|01629742
anthologize|01629742
anthropomorphise|00729371
anthropomorphize|00729371
antic|00105532
anticipate|00721658,02571406,00722732,00919743,01808928,00343295
antiquate|00254550,00254387
antique|02331791,00254387
antisepticize|00062545
ape|02680878,00851272
aphorise|00743880
aphorize|00743880
apologise|00896259,00894444
apologize|00894444,00896259
apostatise|00759901
apostatize|00759901
apostrophise|00995799
apostrophize|00995799
apotheose|00695399
apotheosise|00695399
apotheosize|00695399
appal|01814414,01786469
appall|01814414,01786469
apparel|00047662
appeal|02503235,00757492,01811849,02503473,01026873
appear|02137900,00423043,00426920,02139137,00426024,01725046,02603759
appease|01769244,01196647,00767258
append|01331387,01331195,01029183
apperceive|02111551
appertain|02659801
applaud|00863593,00861956
applique|01674672
apply|01161188,02682599,00767441,01366351,02713289,02314145,02567247,02565990,01028567,02601520
appoint|02401347,02481345,02346366
apportion|02238869,02299140
appose|01502853
appraise|00683348,00648195
appreciate|01809949,00593736,02260917,00316996,00316406
apprehend|00589616,01217701,01786251
apprentice|00604030
apprise|00875364,00832735,00316996,00316406
apprize|00875364,00832735,00316996,00316406
approach|02057865,02709812,02444146,01853713,00992424
approbate|00805477,00688934
appropriate|00726112,02277394
approve|00808164,00675902
approximate|02672137,00674352
aquaplane|01960371,01946713
aquatint|01754476
arbitrage|02265766
arbitrate|00763001
arborise|00330305
arborize|00330305
arc|02038831
arch|02038831
arch_over|02039160
archaise|00523148
archaize|00523148
archive|01387292
argue|00774234,00775477,00774685
argufy|00777201
arise|02630344,02631867,01987278,00340548,01972576,02589224,00018151
arm|01089608,02339863
armor|02346680
armour|02346680
aromatise|02130847
aromatize|02130847
arouse|01763170,00018519,01633150,00022679,00018806,01898157,01766135
arraign|02503641,00845531
arrange|01466592,01023638,01651668,01748949,00038562,01709988,00737576
array|01476839,00735655
arrest|01217701,01133899,01508590,01863572
arrive|02009962,02591952
arrive_at|02024442
arrogate|02280210,02281591,02279327
arse_about|02645690
arse_around|02645690,00855832
arterialise|00119903
arterialize|00119903
article|00886603
articulate|02359283,00982485,00980581,02628718,00980401
ascend|01973223,02757326,02386713,02109935,02107299,02041317,01974362,01973786
ascertain|00920843,00664507,00922307,00723226
ascribe|00728262
ash|00384108
ask|00754499,00786389,00757790,00899241,02634015,02492311,01070587
ask_for|01763987,00754770
ask_for_it|00351702
ask_for_trouble|00351702
ask_in|01472399
ask_out|02492311
ask_over|02389828
ask_round|02389828
asperse|00848188
asphalt|01270430
asphyxiate|01572009,01478810,00360165
aspirate|01543481,00954071,00003316
aspire|00707283
assail|01122487,01121587,00864347
assassinate|02488589,00848838
assault|01122487,02573434,00864347
assay|00696740,02535833
assemble|01660471,02433771,02604140
assent|00805801
assert|01018787,01013058,02378876,00718950
assert_oneself|02524721
assess|00683348,02313532,02313369,00684149
asseverate|01018787
assibilate|01055899,00548102
assign|02396945,02233480,00728262,00679602,01162686,02281591,02233313,00742058
assimilate|00603650,00159450,00160069,01542830,00160255
assist|02553283,02419840,02546367
associate|00715072,02595401,02475598
assoil|00905999
assonate|02756517
assort|02595401,00656296
assuage|01769244,01206641,00063866
assume|00633898,02386868,00525762,02306786,01986409,02279327,01725631,01473485,00050369
assure|00892111,01021652,00778313,00664507,01770259,00885532
asterisk|00511950
astonish|00726794
astound|00726794
astringe|01391040,00305443
astrogate|01937737,01845889
atom-bomb|01135406
atomise|01375803,01135714,00330954
atomize|01375803,01135714,00330954
atone|02526175,01800811
atrophy|00093733
attach|01299048,01292858,01293025,02543752,02278138
attach_to|02722040,02711395
attack|01121587,00864347,01120867,01122487,00348264,00019785
attain|02531751,02010848,02291532,02024442
attaint|02552922,02153931
attemper|00170189
attempt|02535833,01654835
attend|02618797,02555278,02722442,02546367,02174871
attend_to|00618360,02546367
attenuate|00226805,00221127
attest|00822637,00822013,01016830,00822272
attire|00043880
attitudinise|02525160
attitudinize|02525160
attorn|00594595
attract|01507886,01811849,01352707
attribute|00728262,00742058
attune|00298561
auction|02249555
auction_off|02249555
auctioneer|02249555
audit|00698828,00601630
audition|01722394
augment|00154196,00157758
augur|00873606,00920442
aurify|00383081,00285991
auscultate|02154622
auspicate|00873606,00348074
authenticate|00666194
author|01708311
authorise|02479404,00804987
authorize|00804987,02479404
autoclave|00062744
autograph|00999178
automate|00480863
automatise|00481152,00480863
automatize|00481152,00480863
automobile|01934709
autopsy|02154469
autotomise|01516622
autotomize|01516622
avail|01163877,02554745,01196102
avalanche|01970713
avenge|01155952
aver|01018011,01013058
average|02651473,02532960,00641660
average_out|00641660,02651473
avert|02458770,02038356
avianise|00123882
avianize|00123882
aviate|01944952
avoid|00813037,02458770,02468933,01192356,02483482
avouch|00821584
avow|01013058,00821584
avulse|02035962
await|00721987
awake|00018519
awaken|00018806,00018519,00738100
award|02266695,02267085
awe|01783561
ax|01260517,00354971
axe|01260517,00354971
azure|00285718
baa|01050202
babbitt|01274913
babble|01067652,01039522,02192368,00939238
babble_out|00939238
baby|02576182
baby-sit|02608895,02461692
babysit|02608895,02461692
bach|02622171
bachelor|02622171
back|02459338,02001151,02562643,02001544,02222477,02699807,01141530,00561705,00223535,00186002
back_away|00801045
back_down|02001712,02386122
back_off|02001712,02386122
back_out|02001408,00801045
back_up|02561834,02001712,00223535,01698515,01481233
backbite|00909610
backcross|01432458
backdate|02567761
backfire|02384041,02178107,00379694
background|00514573
backhand|01407318
backlash|02384041
backlog|00159044
backpack|01929984
backpedal|01939812,01932994,00690702
backscatter|00331561
backslap|02379663
backslide|00204947
backspace|01007418
backstitch|01333249
backstop|01078523
backstroke|01966382
backtrack|02008542
bacterise|00138180
bacterize|00138180
badge|01592790
badger|01807344,00769575
badmouth|00849849
baffle|00624056,02563998,00235689
bag|01482504,02723237,02720235,02297393,01488465
bail|02426849,02298693,00891924,00177146,00177021
bail_out|02499908,00450381
bait|00852181,02583962,01117329
bake|00320687,01667644,00545216,02761440
balance|02678923,02269775,01605239,02748895
bald|00125951
bale|01388854
bale_out|00450381
balk|02589630
balkanise|02475134
balkanize|02475134
ball|01526058
ball_over|01813031
ball_up|02533317
ballast|00272202
balloon|01952518,00257003
ballot|02468564
ballyhoo|00978397
ballyrag|01785339
bamboozle|00840873
ban|02499315,00798054,02509929,02509666
band|01307002,01299987
band_oneself|02434925
band_together|02476108
bandage|01306207,00082877
bandy|01149762,01140872,00815313
bandy_about|00972139
bang|01244955,02192139,01245396,02104454,01429048,01239505
bang_out|01732092
bang_up|01569486,00052876
banish|02509666,02509929,02509452,02007373
bank|02043258,01590626,02348370,02348248,02348052,02315835,01237357,00714537
bankroll|02221166
bankrupt|02323145
banquet|01188741,01188514
banter|00856977
baptise|01030088
baptize|01030088
bar|00798250,01480632,02509452,01345592
bar_hop|01174238
bar_mitzvah|02480381
barb|01341863
barbarise|00134372,00134136
barbarize|00134372,00134136
barbecue|00325607
barbeque|00325607
barber|00042523
bard|01674210
barde|01674210
bare|01342710,00956640,00195256
barf|00076153
bargain|02264636,00766827
bargain_down|02264194
barge|02000606,01954361
barge_in|02022863,00782236
bark|01049468,01266468,01266348,01049617,00512844
barnstorm|01097309,01097072
baronetise|02403823
baronetize|02403823
barrack|02657840,00860463,00851872
barrage|00865243
barrage_jam|01059214
barrel|01505179
barricade|01480632,01129641,01129501
barricado|01129501
barter|02264048
barter_away|02299017
base|00638550,02762071,01202706
bash|01399742
basify|00265980
bask|01824240,01550963
basset|00426798
bastardise|02586938,00819914
bastardize|02586938,00819914
baste|00322453,01420070,01334030
bastinado|01402575
bat|01415827,00008195,01416215,01416090,01415566
bat_mitzvah|02480532
batch|01388727
bate|02516741,02098335,00217227
batfowl|01482655
bathe|00035596,01584919,01965193
batik|00289576
batten|01309085,01308952
batten_down|01309085
batter|01420359,01420070,00547689
battle|01094777
baulk|02589630
bawl|01050441,01048352,00066633
bawl_out|00826456
bay|01049945,01049823
bayonet|01234544
be|02610777,02622439,02661230,02609706,02755779,02670846,02626667,02450790,02703567,02273091,02620216,02750695,02708368
be_active|00014542
be_adrift|01906776
be_after|00706993
be_amiss|00621541
be_at_pains|02536754
be_born|00361585
be_due|02640648
be_full|01190875
be_given|02725274
be_intimate|01429048
be_known_as|01030757,00691692
be_on|00425290
be_on_cloud_nine|01817635
be_on_the_ball|00597879
be_quiet|01042933
be_sick|00076153
be_well|00065266
be_with_it|00597879
beach|01982961
beacon|02164863,01937175
bead|02631602,01674406,01362794
beak|01246038
beam|00029207,02769698,01069402,00975088,02165960,01833689
bean|01403510
bear|02636952,00056644,00670017,01435234,01655681,02306786,02706727,02296669,00047462,02523827,02307200,01604155,00058790
bear_away|01436911
bear_down|01600017,01391840,01124145,01084416,00842659,00752985
bear_down_on|01931945,01600017
bear_down_upon|01931945
bear_in_mind|00611060
bear_off|01436911
bear_on|02681865,00137133,00768022,02685709
bear_out|02669418
bear_up|00671161
bear_upon|00137133
bear_witness|01017253,01016830
beard|02693572
beat|01104324,01399864,01401573,01884106,01627934,02179274,02167246,02097888,01949797,01420833,01402230,02752015,02579928,02180022,02097668,01884666,01883572,01759850,01730756,01402104,01107263,00624056,00075174
beat_a_retreat|02013362
beat_about|00651015
beat_around_the_bush|00837185
beat_back|01508789
beat_down|02264194,02164751,01887543
beat_in|00607866
beat_out|01104324,01884553
beat_up|01399864,01388297
beatify|01816291,01816035,00824573
beautify|00293903,02754802,01679858
beaver|02420043
beaver_away|02420043
bebop|01899256
becalm|00417496
bechance|00345654,00345297
becharm|02592550,01810472
beckon|01043287,01811018,01043516
becloud|02162161
become|00149403,02632685,02629610,02730133
become_flat|00539403
bed|02342062,01570434,01502721,01429048,00017858
bed-hop|02099668
bed_down|00017524
bedamn|00867622
bedaub|01254392
bedaze|02119913
bedazzle|02166865
bedeck|01683875
bedevil|01806967,00623406
bedew|00215680
bedhop|02099668
bedight|01683875
bedim|00314661,00314513
bedizen|01683149,00044971
bedraggle|00217118
beef|00912926
beef_up|00221295
beep|02187621,00793034
beeswax|01271434
beetle|02703277,02107890,01402475
beetle_off|02014892
befall|00345654,00345297
befit|02705783
befog|02162161
befool|02582434,00856586
befoul|00493346
befriend|02594833
befuddle|00623406,01193274
beg|00761314,00784104,02275660,00811888
beg_off|00895742
beget|00054345
beggar|02713541,02322950
begild|01686996
begin|00346415,02614382,00349400,00749644,02685037,02615238,02614858,02606945,02532175,01072799
begrime|01536935
begrudge|01831006,01829067
beguile|02584320,01810472
behave|00010428,02523827,02525332
behead|01574185
behold|02134625
behoove|02674167
behove|02674167
bejewel|01682580
belabor|02420395,00828963,01400889
belabour|02420395,01400889,00828963
belay|01345437,01345318
belch|00003443,00308350
beleaguer|01807344,01129837
belie|02669219,00838384
believe|00685199,00691086,00723022,00686192,00685987
believe_in|00735918
belittle|00866139,00847588,00442836
bell|01299860
bell_the_cat|02551636
bellow|01050441,01050590
belly|00258421
belly-flop|01967323
belly-land|01984631
belly_dance|01714049
belly_out|00258421
bellyache|00912926
bellylaugh|00029735
belong|02306641,02743599,02743751,02743444,02762234,02725805
belong_to|02725805
belt|01707889,01417816,01368764
belt_along|02062918
belt_down|01204994
belt_out|01707889
belt_up|01042933
bemire|01536935
bemoan|00913303
bemock|00850760
bemuse|01795261
bench|02488478,02146195
bend|02039764,02036982,01282617,02066560,02038145,01283091
bend_over_backwards|00011354
benday|01753869
benefact|02553916
benefice|02206303
beneficiate|00578247
benefit|02295422,02295917
benficiate|00239141
benight|01813851,01383148,00314661
benumb|02119756
beplaster|01615868
bequeath|02233837
berate|00826456
bereave|02320401
berry|01386756
berth|02341943,01308202,01308021
beseech|00761702
beseem|02705783
beset|01793315,01129126,01519987
beshrew|00867622
besiege|01129837,01802298,00780167
besmear|01254392
besmirch|00848188,01255165
besot|02120101
bespangle|01673801,01380109
bespatter|01541417
bespeak|00923271,00754770
bespeckle|01541098
bespot|01276093
besprinkle|00229081
best|01111670
bestialise|00411169
bestialize|00411169
bestir|02088053
bestir_oneself|00349195
bestow|02268154,02268500,02329474
bestrew|01380996
bestride|01927367
bet|00920551,01158153,00714537
bet_on|01141530
betake_oneself|01843905
bethink|02171205,00685046
betide|00345654
betoken|00923271,00873606
betray|00938362,02543073,01803246,02582588,00843665,00856102
betroth|00888123
better|01109275,00206293,00205454
bevel|01586914
bewail|00913303
beware|00726626
bewhisker|02337169
bewilder|00624056,01795261
bewitch|01810472,00779567,00779033
bewray|00938362
bias|01088088,00682265
bib|01174411
bicker|00776101
bicycle|01939335
bid|02303593,00904886,00761702,02305021,02245456,00795242
bide|02643286
biff|01418674
bifurcate|02724738,00330627
bight|01345218
bike|01939335
bilge|00259414,00258833
bilk|02578849,02563998,02318781,02078305
bill|02325354,00979185,00993932
billet|02659254
billow|02045267,02045573,02045051,00257003
bin|01495799
bind|01359453,02543752,01305902,01306207,01289516,00886738,01338486,01288043,00568368,00074311
bind_off|01288641
bind_over|02501241
binge|01195632
bioassay|00696886
biodegrade|00191552
birch|01414632
bird|01142291
bird-nest|01385899
birdie|01601428
birdlime|02087484
birdnest|01385899
birdwatch|01142291
birl|02052221,02052000
birle|02052221
birr|02193033
birth|00056644
bisect|01553599
bitch|00912926,00909610
bite|01448551,02124916,01444001,01448026
bite_off|01448375
bite_out|00987738
bitt|01289157
bitter|02200197
bituminise|00518320
bituminize|00518320
bivouac|02660091
blab|00939238,01038676
blab_out|00939238
blabber|01038676
black|00281302
black_market|02247038
black_marketeer|02250948
black_out|02768257,00313430,00202270,00023861
blackball|02509666,02478854
blackberry|01385743
blacken|00281302,00380111
blacken_out|00313430
blackguard|00853615,00846978
blackjack|02587158
blacklead|01605742
blackleg|02418069
blacklist|02478566
blackmail|02587158,02246549
blacktop|01269168
blackwash|00849045,00282463
blame|00844217,00844451,00729953
blanch|00103373,00323360
blandish|00881748
blank|02456505
blank_out|00610654,00202453
blanket|01361710,02755280
blanket_jam|01059709
blare|02186925,02187621
blare_out|00977366
blarney|00770823
blaspheme|00867051,00816120
blast|02186925,01404426,01138348,02105494,01762865,01762120,01137207,00825488,00336968,00242810
blast_off|01517688
blat|01050202
blat_out|00977366
blate|01050202
blather|01039522
blaze|02770572,01137512,02770396,02018715,00923996
blaze_away|01717446,01137512,00769963
blaze_out|02018715
blaze_up|02768764
blazon|01688075
blazon_out|00976818
bleach|00280592,00280235
bleach_out|00280592
blear|00313791
bleat|01050364,01050202
bleed|00074587,00085829,02365002,02064720,00450108
bleep|02191617
blemish|01552687,01540949,00263930
blench|00103373
blend|01465097,02706315,00395719
blend_in|02706315,00396941
bless|00868169,02268883,00868895,00868366
blether|01039522
blight|02777278
blind|02172999,02172638,00313060
blindfold|01340609
blindside|02602727,01123030
blink|00007739,00008435,02164320
blink_away|00008435
blinker|01340501
blister|00380445,00865570,00380667
blither|01039522
blitz|01128645
blitzkrieg|01095776
bloat|00362450,00362605
blob|01534786
block|01480632,02563025,02565578,01058906,02449162,02202937,02149973,01534280,01481963,01479113,01220488,01149526,00610654,00478459,00478313,00270309
block_off|01129387,01480632,01480024
block_out|00713065,01480168,01361440,01008744
block_up|01480632
blockade|02563025,01480632,01129387,01129272
blog|00866944
blood|01236206
bloody|00228553
bloom|00295007
blossom|00295007,00294522
blossom_forth|00294522
blossom_out|00294522
blot|01541716,01534786
blot_out|00314788
blotch|01700030
bloviate|00830675
blow|00007012,02775199,00034941,01906776,02140342,00478178,02680129,02533317,02273196,02270993,02182784,02140192,02121653,02105324,02104910,02072673,01852996,01547990,00936997,00884747,00781849,00436247,00310937
blow-dry|00219650
blow_a_fuse|01799439
blow_off|01293548
blow_one's_stack|01799439
blow_out|00436247,02767855,02766970
blow_out_of_the_water|01813031
blow_over|00422644
blow_up|00307505,00241179,01799439,00958437,00307079,00265272,00264920,00264568
blub|00067045
blubber|00067045,00945764
blubber_out|00945764
bludgeon|02511255,01426583
blue|00522721
blue-pencil|00201227
blueprint|01687477
bluff|01079346,00839551
bluff_out|01079346
blunder|02572142,02055471,00983976
blunder_out|00983976
blunt|00228445,02119756,01249008,00228339,00192383
blur|02162464,02166188,00622345,01254492,00313791,00311895
blurt|00983976
blurt_out|00983976
blush|00103071,00289921
bluster|02776320,00884747,00012427
board|02021901,02662859,01179415,01179194
board_up|01237788
boast|00884747,02637740
boat|01948551
boat-race|01089265
bob|01869369,01943670,01558960,00901115,00038834
bob_about|01869852
bob_around|01869852
bob_under|02161393
bob_up|02631867
bobble|02533317
bobsled|01943670
bode|00873606
bodge|02533317
body|02704786
body-surf|01952198
body_forth|02704285
body_guard|02030714
bodypaint|01685530
bog|00364569,00364395
bog_down|00364395,01839045,01838838,00364569
bogey|01601842
boggle|01914772,02646395,00728115
boil|00375692,00328938,00375339,01889423,01771464
boil_down|00238590,00238145,00237885
boil_over|00375939
boldface|01752724
bollix|02533317
bollix_up|02533317
bollocks|02533317
bollocks_up|02533317
bolshevise|00410206
bolshevize|00410206
bolster|00223800,01221846,00322287
bolster_up|00223800
bolt|01970046,01351520,01205271,02077642,02014892,01176230,00437257
bolt_down|01204994,01176396
bolt_out|02014892
bomb|01134328,02529187
bomb_out|01134967
bomb_up|01491092
bombard|01510546,01134328,00865243,00292386
bombilate|02186555
bombinate|02186555
bombproof|00166028
bond|01359453,02543752,02356921,01609993
bonderise|01269021
bonderize|01269021
bone|00607178,00197798
bone_up|00607178
bong|02188949
bonk|01429048,01399742
bonnet|00047228
boo|00863889
boob|02572142
boogie|01901196
book|00680696,02503969,02503785,02605751
book_up|00796542
boom|02191956,01404426,02776493,02179106,00311168
boom_out|02179106
boomerang|02009792
boondoggle|02452112
boost|01979926,00311719,02560630,00498142,01518703
boost_up|01877777
boot|01375221,00098100
boot_out|02406951,01471205
bootleg|02246831,01629022
bootlick|00882499
bootstrap|02557749
booze|01173463
bop|01899256,01399742
border|01469999,02716547,01589771,02366599,01469607
border_on|02709812
bore|01825834,01445640
borrow|02329022,02351720
bosom|02151743,01427110
boss|01534053
boss_around|01785339
botanise|00647068
botanize|00647068
botch|02533317
botch_up|02533317
bother|02513113,01791774,02513385,02022710,01795564,01795437
bottle|02287925,01504918
bottle_up|02428558
bottlefeed|01189804
bottleneck|02563728,00305727
bottom|02342695,01240922,00730916
bottom_out|02011912,01241064
bounce|01896097,01407043,01896601,02259731,01968795,02259575,01471709
bounce_back|00268897
bounce_out|01407192
bound|01967949,02716547,00234091,01896097
bound_off|01896727
bourgeon|00357986
bouse|01457724
bow|00900454,00879879,02044118,02066560,01733174
bow_down|02067538,00900454
bow_out|02386122,02385902
bowdlerise|00201398
bowdlerize|00201398
bower|01392864
bowl|01891317,01619642,01148973
bowl_over|01913971,00728115
bowse|01457724
box|01487784,01423419,01422636
box_in|02717596
box_up|02717596
boycott|02470917
brabble|00776101
brace|01810076,01222557,01222270,00022679
brace_oneself_for|00274056
brace_up|00222144
brachiate|01895482
bracket|01221355,00802248,00658587
bracket_out|00802248
brad|01345121
brag|00884747
braid|01678612,01522360,01522202
brail|01217491,01143839
braille|00997761
brain|01404330,01329702
brainstorm|00631885
brainwash|00772034,00607066
braise|00326009
brake|01867803,01867579
branch|00330054,00329612
branch_out|00437357
brand|02514312,02513894,01591797,01033142
brandish|01449520,02146993
brandmark|01591797
brattice|02341371
brattle|02176571
brave|02713111
brave_out|02713111
bravo|00862146
brawl|00776389
bray|01056425,00331892,00029623
braze|01598618
brazen|00870135
breach|02572443,01596535
bread|01340335
break|00364717,00334996,00259551,01372423,00335806,02572443,02077161,02033214,01789214,00363001,02576599,00202933,02674312,01109275,00935783,00559613,00435327,02541382,02034609,01976990,00390886,00203148,02752492,02752324,02687449,02687334,02631268,02606079,02565221,02484058,02436167,02404473,02323145,02105651,01995361,01993067,01900477,01613570,01613367,01600916,01560428,01372011,01301517,01231088,01230960,00938019,00781106,00780790,00746425,00740445,00740319,00552489,00340274,00337070,00259252,00154854,00107543,00107408,00030456
break-dance|01900477
